,title,price,mpg,rating
372,2020 Audi R8,"$185,050",16 MPG,
373,2019 Audi RS 5,"$75,195",21 MPG,4.8 / 5
374,2020 Audi S3,"$43,995",25 MPG,4.6 / 5
375,2020 Audi S4,"$50,895",23 MPG,4.7 / 5
376,2020 Audi S8,"$130,495",16 MPG,
377,2020 Audi SQ5,"$53,895",20 MPG,4.7 / 5
378,2020 Audi TT,"$46,495",26 MPG,4.3 / 5
379,2021 Audi A7,"$75,945",29 MPG,4.6 / 5
380,2021 Audi Q5,"$52,995",27 MPG,4.7 / 5
381,2021 Audi A7,"$75,945",29 MPG,4.6 / 5
382,2019 Audi e-tron,"$75,795",74 MPGe,
383,2021 Audi Q5,"$52,995",27 MPG,4.7 / 5
384,2020 Audi A5,"$43,895",27 MPG,4.8 / 5
385,2020 Audi R8,"$172,850",16 MPG,
386,2019 Audi RS 5,"$75,195",21 MPG,4.8 / 5
387,2020 Audi TT,"$46,495",26 MPG,4.3 / 5
388,2020 Audi A5,"$43,895",27 MPG,4.8 / 5
389,2021 Audi A7,"$70,245",24 MPG,4.6 / 5
390,2019 Audi RS 5,"$75,195",20 MPG,4.8 / 5
391,2020 Audi TT,"$46,495",26 MPG,4.3 / 5
392,2019 Audi A4 allroad,"$46,695",25 MPG,4.5 / 5
393,2020 Audi A6 allroad,"$66,895",22 MPG,4.6 / 5
394,2020 Audi A5,"$50,895",26 MPG,4.8 / 5
395,2020 Audi R8,"$185,050",16 MPG,
396,2020 Volkswagen Arteon,"$37,015",25 MPG,4.1 / 5
397,2019 Volkswagen e-Golf,"$32,790",119 MPGe,4.1 / 5
398,2020 Volkswagen Golf,"$24,115",31 MPG,4.1 / 5
399,2020 Volkswagen Golf GTI,"$29,515",27 MPG,4.1 / 5
400,2019 Volkswagen Golf R,"$41,290",24 MPG,4.1 / 5
401,2020 Volkswagen Jetta,"$19,815",34 MPG,4.4 / 5
402,2020 Volkswagen Jetta GLI,"$27,165",28 MPG,4.4 / 5
403,2020 Volkswagen Passat,"$23,915",27 MPG,4.1 / 5
404,2021 Volkswagen Atlas,"$32,565",22 MPG,
405,2020 Volkswagen Atlas Cross Sport,"$31,565",22 MPG,4.5 / 5
406,2021 Volkswagen Tiguan,"$26,440",25 MPG,4.2 / 5
407,2021 Volkswagen Atlas,"$32,565",22 MPG,
408,2020 Volkswagen Atlas Cross Sport,"$31,565",22 MPG,4.5 / 5
409,2021 Volkswagen Tiguan,"$26,440",25 MPG,4.2 / 5
410,2019 Volkswagen e-Golf,"$32,790",119 MPGe,4.1 / 5
411,2019 Volkswagen Beetle,"$23,940",29 MPG,3.6 / 5
412,2020 Volkswagen Arteon,"$37,015",25 MPG,4.1 / 5
413,2019 Volkswagen Beetle,"$23,940",29 MPG,3.6 / 5
414,2019 Volkswagen e-Golf,"$32,790",119 MPGe,4.1 / 5
415,2020 Volkswagen Golf,"$24,115",31 MPG,4.1 / 5
416,2020 Volkswagen Golf GTI,"$29,515",27 MPG,4.1 / 5
417,2019 Volkswagen Golf R,"$41,290",24 MPG,4.1 / 5
418,2019 Volkswagen Golf Alltrack,"$27,790",24 MPG,4.2 / 5
419,2019 Volkswagen Golf SportWagen,"$22,790",32 MPG,4.1 / 5
420,2019 Volkswagen Beetle,"$26,890",29 MPG,3.6 / 5
421,2019 smart fortwo EQ cabrio,"$28,850",102 MPGe,3.0 / 5
422,2019 smart fortwo EQ coupe,"$24,650",108 MPGe,3.0 / 5
423,2019 smart fortwo EQ coupe,"$24,650",108 MPGe,3.0 / 5
424,2019 smart fortwo EQ coupe,"$24,650",108 MPGe,3.0 / 5
425,2019 smart fortwo EQ cabrio,"$28,850",102 MPGe,3.0 / 5
426,2020 Porsche Cayenne,"$82,450",21 MPG,4.5 / 5
427,2020 Porsche Cayenne Coupe,"$87,750",21 MPG,4.5 / 5
428,2020 Porsche Panamera,"$105,150",25 MPG,
429,2020 Porsche 718 Cayman,"$58,850",22 MPG,4.6 / 5
430,2020 Porsche 911,"$98,750",20 MPG,
431,2020 Porsche 718 Boxster,"$62,300",22 MPG,4.6 / 5
432,2020 Porsche 718 Spyder,"$97,650",19 MPG,4.6 / 5
433,2020 Porsche 911,"$111,550",20 MPG,
434,2020 Mitsubishi Mirage G4,"$16,135",35 MPG,3.0 / 5
435,2020 Mitsubishi Eclipse Cross,"$24,335",27 MPG,3.6 / 5
436,2020 Mitsubishi Outlander,"$26,235",27 MPG,3.5 / 5
437,2020 Mitsubishi Outlander PHEV,"$37,705",25 MPG,3.5 / 5
438,2020 Mitsubishi Outlander Sport,"$23,935",27 MPG,3.1 / 5
439,2020 Mitsubishi Eclipse Cross,"$24,335",27 MPG,3.6 / 5
440,2020 Mitsubishi Outlander,"$26,235",27 MPG,3.5 / 5
441,2020 Mitsubishi Outlander PHEV,"$37,705",25 MPG,3.5 / 5
442,2020 Mitsubishi Outlander Sport,"$23,935",27 MPG,3.1 / 5
443,2020 Mitsubishi Outlander PHEV,"$37,705",25 MPG,3.5 / 5
444,2020 Mitsubishi Outlander PHEV,"$37,705",25 MPG,3.5 / 5
445,2020 Mitsubishi Mirage,"$15,280",36 MPG,3.0 / 5
446,2020 Mitsubishi Mirage G4,"$16,135",35 MPG,3.0 / 5
447,2020 Mitsubishi Eclipse Cross,"$24,335",27 MPG,3.6 / 5
448,2020 Mitsubishi Outlander,"$26,235",27 MPG,3.5 / 5
449,2020 Mitsubishi Outlander PHEV,"$37,705",25 MPG,3.5 / 5
450,2020 Mitsubishi Outlander Sport,"$23,935",27 MPG,3.1 / 5
451,2020 Mitsubishi Eclipse Cross,"$24,335",27 MPG,3.6 / 5
452,2020 Mitsubishi Outlander,"$26,235",27 MPG,3.5 / 5
453,2020 Mitsubishi Outlander PHEV,"$37,705",25 MPG,3.5 / 5
454,2020 Mitsubishi Outlander Sport,"$23,935",27 MPG,3.1 / 5
455,2020 Mitsubishi Outlander PHEV,"$37,705",25 MPG,3.5 / 5
456,2020 Mitsubishi Outlander PHEV,"$37,705",25 MPG,3.5 / 5
457,2020 Mitsubishi Mirage,"$15,280",36 MPG,3.0 / 5
458,2021 MAZDA MAZDA3,"$21,445",31 MPG,4.4 / 5
459,2020 MAZDA MAZDA6,"$25,045",29 MPG,4.4 / 5
460,2020 MAZDA CX-3,"$21,740",31 MPG,4.2 / 5
461,2021 MAZDA CX-30,"$23,000",28 MPG,4.7 / 5
462,2021 MAZDA CX-5,"$26,370",28 MPG,4.2 / 5
463,2021 MAZDA CX-9,"$35,060",24 MPG,
464,2020 MAZDA CX-3,"$21,740",31 MPG,4.2 / 5
465,2021 MAZDA CX-30,"$23,000",28 MPG,4.7 / 5
466,2021 MAZDA CX-5,"$26,370",28 MPG,4.2 / 5
467,2021 MAZDA CX-9,"$35,060",24 MPG,
468,2020 MAZDA MX-5 Miata RF,"$33,990",29 MPG,4.6 / 5
469,2021 MAZDA MAZDA3,"$23,445",29 MPG,4.4 / 5
470,2020 MAZDA MX-5 Miata,"$27,525",29 MPG,4.6 / 5
471,2020 MAZDA MX-5 Miata RF,"$33,990",29 MPG,4.6 / 5
472,2020 Lincoln Continental,"$47,300",20 MPG,3.7 / 5
473,2020 Lincoln MKZ,"$37,745",41 MPG,3.7 / 5
474,2021 Lincoln Aviator,"$52,195",21 MPG,4.0 / 5
475,2020 Lincoln Corsair,"$36,940",25 MPG,4.2 / 5
476,2019 Lincoln MKC,"$34,990",23 MPG,4.0 / 5
477,2019 Lincoln MKT,"$50,495",17 MPG,3.4 / 5
478,2020 Lincoln Nautilus,"$42,035",23 MPG,3.9 / 5
479,2021 Lincoln Aviator,"$69,995",23 MPG,4.0 / 5
480,2020 Lincoln MKZ,"$37,745",41 MPG,3.7 / 5
481,2021 Lincoln Aviator,"$69,995",23 MPG,4.0 / 5
482,2020 Land Rover Defender 110,"$51,250",18 MPG,4.6 / 5
483,2020 Land Rover Defender 90,"$66,450",19 MPG,
484,2020 Land Rover Discovery,"$53,650",18 MPG,3.9 / 5
485,2020 Land Rover Discovery Sport,"$38,850",21 MPG,3.6 / 5
486,2020 Land Rover Range Rover,"$92,250",21 MPG,3.3 / 5
487,2020 Land Rover Range Rover Evoque,"$43,645",23 MPG,4.2 / 5
488,2021 Land Rover Range Rover Sport,"$70,850",24 MPG,4.2 / 5
489,2020 Land Rover Range Rover Velar,"$57,325",23 MPG,4.2 / 5
490,2020 Land Rover Range Rover Velar,"$57,325",23 MPG,4.2 / 5
491,2020 Land Rover Defender 110,"$51,250",18 MPG,4.6 / 5
492,2020 Land Rover Defender 90,"$66,450",19 MPG,
493,2020 Land Rover Discovery,"$53,650",18 MPG,3.9 / 5
494,2020 Land Rover Discovery Sport,"$38,850",21 MPG,3.6 / 5
495,2020 Land Rover Range Rover,"$92,250",21 MPG,3.3 / 5
496,2020 Land Rover Range Rover Evoque,"$43,645",23 MPG,4.2 / 5
497,2021 Land Rover Range Rover Sport,"$70,850",24 MPG,4.2 / 5
498,2020 Land Rover Range Rover Velar,"$57,325",23 MPG,4.2 / 5
499,2020 Land Rover Range Rover,"$97,300",19 MPG,3.3 / 5
500,2021 Land Rover Range Rover Sport,"$84,350",19 MPG,4.2 / 5
501,2021 Land Rover Range Rover Sport,"$84,350",19 MPG,4.2 / 5
502,2020 Kia Cadenza,"$38,885",23 MPG,3.9 / 5
503,2021 Kia Forte,"$18,855",31 MPG,4.5 / 5
504,2021 Kia K5,"$24,455",32 MPG,4.7 / 5
505,2020 Kia K900,"$61,340",21 MPG,3.9 / 5
506,2020 Kia Optima,"$24,355",27 MPG,4.4 / 5
507,2020 Kia Optima Hybrid,"$30,235",42 MPG,
508,2020 Kia Optima Plug-in Hybrid,"$37,150",41 MPG,
509,2020 Kia Rio,"$16,815",36 MPG,4.3 / 5
510,2021 Kia Stinger,"$34,125",25 MPG,
511,2021 Kia Seltos,"$23,110",31 MPG,4.8 / 5
512,2021 Kia Sorento,"$30,560",26 MPG,4.7 / 5
513,2021 Kia Sportage,"$25,110",26 MPG,4.3 / 5
514,2021 Kia Telluride,"$33,160",23 MPG,4.8 / 5
515,2021 Kia Sorento,"$30,560",26 MPG,4.7 / 5
516,2021 Kia Sportage,"$25,110",26 MPG,4.3 / 5
517,2020 Kia K900,"$61,340",21 MPG,3.9 / 5
518,2021 Kia Sedona,"$31,520",21 MPG,4.2 / 5
519,2020 Kia Niro,"$25,710",50 MPG,4.4 / 5
520,2020 Kia Niro Plug-in Hybrid,"$30,610",46 MPG,4.4 / 5
521,2020 Kia Optima Hybrid,"$30,235",42 MPG,
522,2020 Kia Optima Plug-in Hybrid,"$37,150",41 MPG,
523,2020 Kia Niro EV,"$40,210",112 MPGe,4.4 / 5
524,2020 Kia Niro Plug-in Hybrid,"$30,610",46 MPG,4.4 / 5
525,2020 Kia Optima Plug-in Hybrid,"$37,150",41 MPG,
526,2019 Kia Soul EV,"$34,945",108 MPGe,4.3 / 5
527,2020 Kia Rio,"$17,755",36 MPG,4.3 / 5
528,2021 Kia Soul,"$18,610",27 MPG,4.6 / 5
529,2019 Kia Soul EV,"$34,945",108 MPGe,4.3 / 5
530,2020 Kia Niro,"$25,710",50 MPG,4.4 / 5
531,2020 Kia Niro EV,"$40,210",112 MPGe,4.4 / 5
532,2020 Kia Niro Plug-in Hybrid,"$30,610",46 MPG,4.4 / 5
533,2021 Kia Soul,"$18,610",27 MPG,4.6 / 5
534,2019 Kia Soul EV,"$34,945",108 MPGe,4.3 / 5
535,2020 Jaguar XE,"$40,950",28 MPG,3.9 / 5
536,2020 Jaguar XF,"$52,095",28 MPG,3.6 / 5
537,2019 Jaguar XJ,"$77,025",21 MPG,
538,2020 Jaguar I-PACE,"$71,000",76 MPGe,4.8 / 5
539,2020 Jaguar F-TYPE,"$62,750",26 MPG,3.5 / 5
540,2020 Jaguar XF,"$66,145",24 MPG,3.6 / 5
541,2020 Jaguar F-TYPE,"$65,850",26 MPG,3.5 / 5
542,2020 Hyundai Accent,"$16,270",33 MPG,4.3 / 5
543,2021 Hyundai Elantra,"$20,645",37 MPG,4.8 / 5
544,2020 Hyundai Ioniq Electric,"$34,020",133 MPGe,4.4 / 5
545,2020 Hyundai Ioniq Hybrid,"$24,175",58 MPG,4.4 / 5
546,2020 Hyundai Ioniq Plug-in Hybrid,"$27,475",52 MPG,4.4 / 5
547,2021 Hyundai Sonata,"$24,595",32 MPG,
548,2021 Hyundai Sonata Hybrid,"$28,745",52 MPG,
549,2019 Hyundai Sonata Plug-in Hybrid,"$34,355",39 MPG,4.4 / 5
550,2021 Hyundai Kona,"$21,540",30 MPG,4.4 / 5
551,2021 Hyundai Kona Electric,"$38,365",120 MPGe,4.4 / 5
552,2020 Hyundai NEXO,"$59,875",61 MPGe,
553,2021 Hyundai Palisade,"$33,665",22 MPG,4.7 / 5
554,2021 Hyundai Santa Fe,"$28,025",26 MPG,4.7 / 5
555,2019 Hyundai Santa Fe XL,"$32,045",21 MPG,4.0 / 5
556,2021 Hyundai Tucson,"$24,840",25 MPG,4.2 / 5
557,2021 Hyundai Venue,"$19,925",31 MPG,4.5 / 5
558,2021 Hyundai Kona,"$21,540",30 MPG,4.4 / 5
559,2021 Hyundai Kona Electric,"$38,365",120 MPGe,4.4 / 5
560,2021 Hyundai Palisade,"$33,665",22 MPG,4.7 / 5
561,2021 Hyundai Santa Fe,"$28,025",26 MPG,4.7 / 5
562,2019 Hyundai Santa Fe XL,"$32,045",21 MPG,4.0 / 5
563,2021 Hyundai Tucson,"$24,840",25 MPG,4.2 / 5
564,2021 Hyundai Venue,"$19,925",31 MPG,4.5 / 5
565,2020 Hyundai Ioniq Electric,"$34,020",133 MPGe,4.4 / 5
566,2020 Hyundai Ioniq Plug-in Hybrid,"$27,475",52 MPG,4.4 / 5
567,2021 Hyundai Kona Electric,"$38,365",120 MPGe,4.4 / 5
568,2020 Hyundai NEXO,"$59,875",61 MPGe,
569,2019 Hyundai Sonata Plug-in Hybrid,"$34,355",39 MPG,4.4 / 5
570,2020 Hyundai Veloster,"$19,775",28 MPG,4.4 / 5
571,2020 Hyundai Elantra GT,"$21,625",27 MPG,4.5 / 5
572,2020 Hyundai Ioniq Electric,"$34,020",133 MPGe,4.4 / 5
573,2020 Hyundai Ioniq Hybrid,"$24,175",58 MPG,4.4 / 5
574,2020 Hyundai Ioniq Plug-in Hybrid,"$27,475",52 MPG,4.4 / 5
575,2020 Hyundai Veloster,"$19,775",28 MPG,4.4 / 5
576,2020 FIAT 500X,"$26,085",26 MPG,3.8 / 5
577,2020 FIAT 500L,"$23,995",25 MPG,2.9 / 5
578,2020 FIAT 500X,"$26,085",26 MPG,3.8 / 5
579,2019 FIAT 500e,"$34,705",112 MPGe,3.5 / 5
580,2019 FIAT 500,"$17,740",30 MPG,3.5 / 5
581,2019 FIAT 500 Abarth,"$21,990",30 MPG,3.5 / 5
582,2019 FIAT 500e,"$34,705",112 MPGe,3.5 / 5
583,2019 FIAT 500,"$17,740",30 MPG,3.5 / 5
584,2019 FIAT 500 Abarth,"$21,990",30 MPG,3.5 / 5
585,2019 FIAT 500e,"$34,705",112 MPGe,3.5 / 5
586,2020 FIAT 500L,"$23,995",25 MPG,2.9 / 5
587,2020 FIAT 500X,"$26,085",26 MPG,3.8 / 5
588,2020 FIAT 500L,"$23,995",25 MPG,2.9 / 5
589,2020 FIAT 124 Spider,"$27,880",30 MPG,4.5 / 5
590,2019 FIAT 500c,"$19,485",30 MPG,3.5 / 5
591,2019 FIAT 500c Abarth,"$23,485",30 MPG,3.5 / 5
592,2020 FIAT 500X,"$26,085",26 MPG,3.8 / 5
593,2020 FIAT 500L,"$23,995",25 MPG,2.9 / 5
594,2020 FIAT 500X,"$26,085",26 MPG,3.8 / 5
595,2019 FIAT 500e,"$34,705",112 MPGe,3.5 / 5
596,2019 FIAT 500,"$17,740",30 MPG,3.5 / 5
597,2019 FIAT 500 Abarth,"$21,990",30 MPG,3.5 / 5
598,2019 FIAT 500e,"$34,705",112 MPGe,3.5 / 5
599,2019 FIAT 500,"$17,740",30 MPG,3.5 / 5
600,2019 FIAT 500 Abarth,"$21,990",30 MPG,3.5 / 5
601,2019 FIAT 500e,"$34,705",112 MPGe,3.5 / 5
602,2020 FIAT 500L,"$23,995",25 MPG,2.9 / 5
603,2020 FIAT 500X,"$26,085",26 MPG,3.8 / 5
604,2020 FIAT 500L,"$23,995",25 MPG,2.9 / 5
605,2020 FIAT 124 Spider,"$27,880",30 MPG,4.5 / 5
606,2019 FIAT 500c,"$19,485",30 MPG,3.5 / 5
607,2019 FIAT 500c Abarth,"$23,485",30 MPG,3.5 / 5
608,2021 Dodge Charger,"$31,490",23 MPG,3.6 / 5
609,2021 Dodge Durango,"$33,260",21 MPG,3.1 / 5
610,2020 Dodge Journey,"$25,170",21 MPG,2.9 / 5
611,2020 Dodge Journey,"$25,170",21 MPG,2.9 / 5
612,2020 Dodge Grand Caravan Passenger,"$29,025",20 MPG,3.6 / 5
613,2020 Dodge Challenger,"$29,590",23 MPG,4.0 / 5
614,2020 Chevrolet Bolt EV,"$37,495",118 MPGe,4.7 / 5
615,2019 Chevrolet Cruze,"$18,870",33 MPG,4.2 / 5
616,2020 Chevrolet Impala,"$32,495",22 MPG,4.5 / 5
617,2020 Chevrolet Malibu,"$22,970",32 MPG,4.1 / 5
618,2020 Chevrolet Sonic,"$20,295",29 MPG,4.3 / 5
619,2019 Chevrolet Volt,"$34,395",42 MPG,4.4 / 5
620,2021 Chevrolet Blazer,"$29,995",23 MPG,4.3 / 5
621,2021 Chevrolet Equinox,"$24,995",28 MPG,
622,2021 Chevrolet Suburban,"$52,995",18 MPG,4.6 / 5
623,2021 Chevrolet Tahoe,"$50,295",18 MPG,4.7 / 5
624,2021 Chevrolet Trailblazer,"$19,995",29 MPG,4.6 / 5
625,2021 Chevrolet Traverse,"$30,995",21 MPG,4.3 / 5
626,2021 Chevrolet Trax,"$22,395",28 MPG,3.8 / 5
627,2021 Chevrolet Equinox,"$24,995",28 MPG,
628,2021 Chevrolet Trailblazer,"$19,995",29 MPG,4.6 / 5
629,2021 Chevrolet Traverse,"$30,995",21 MPG,4.3 / 5
630,2021 Chevrolet Trax,"$22,395",28 MPG,3.8 / 5
631,2019 Chevrolet Malibu,"$28,945",46 MPG,4.0 / 5
632,2019 Chevrolet Volt,"$34,395",42 MPG,4.4 / 5
633,2020 Chevrolet Bolt EV,"$37,495",118 MPGe,4.7 / 5
634,2019 Chevrolet Volt,"$34,395",42 MPG,4.4 / 5
635,2020 Chevrolet Camaro,"$25,995",23 MPG,4.3 / 5
636,2021 Chevrolet Corvette,"$59,995",19 MPG,
637,2020 Chevrolet Bolt EV,"$37,495",118 MPGe,4.7 / 5
638,2021 Chevrolet Corvette,"$59,995",19 MPG,
639,2019 Chevrolet Cruze,"$20,495",33 MPG,4.2 / 5
640,2020 Chevrolet Sonic,"$20,295",29 MPG,4.3 / 5
641,2020 Chevrolet Spark,"$14,095",33 MPG,3.8 / 5
642,2019 Chevrolet Volt,"$34,395",42 MPG,4.4 / 5
643,2020 Chevrolet Bolt EV,"$37,495",118 MPGe,4.7 / 5
644,2020 Chevrolet Camaro,"$32,495",23 MPG,4.3 / 5
645,2021 Chevrolet Corvette,"$67,495",19 MPG,
646,2019 Buick LaCrosse,"$30,495",29 MPG,3.9 / 5
647,2020 Buick Regal Sportback,"$26,295",26 MPG,
648,2020 Buick Enclave,"$41,195",21 MPG,4.5 / 5
649,2021 Buick Encore,"$24,195",27 MPG,3.9 / 5
650,2021 Buick Encore GX,"$25,195",29 MPG,4.3 / 5
651,2021 Buick Envision,"$32,995",26 MPG,4.1 / 5
652,2021 Buick Encore,"$24,195",27 MPG,3.9 / 5
653,2021 Buick Encore GX,"$25,195",29 MPG,4.3 / 5
654,2021 Buick Envision,"$32,995",26 MPG,4.1 / 5
655,2019 Buick Cascada,"$33,995",24 MPG,4.0 / 5
656,2020 Buick Enclave,"$41,195",21 MPG,4.5 / 5
657,2021 Buick Encore,"$24,195",27 MPG,3.9 / 5
658,2021 Buick Envision,"$32,995",26 MPG,4.1 / 5
659,2019 Buick LaCrosse,"$30,495",29 MPG,3.9 / 5
660,2020 Buick Regal Sportback,"$26,295",26 MPG,
661,2020 Buick Regal TourX,"$30,295",24 MPG,
662,2020 Buick Regal TourX,"$30,295",24 MPG,
663,2019 Buick Cascada,"$33,995",24 MPG,4.0 / 5
664,2019 Aston Martin DB11,"$219,581",20 MPG,
665,2019 Aston Martin DBS Superleggera,"$308,081",17 MPG,
666,2019 Aston Martin Vantage,"$153,081",21 MPG,
667,2019 Aston Martin DB11,"$204,581",20 MPG,
668,2019 Aston Martin DBS Superleggera,"$308,081",17 MPG,
669,2019 Aston Martin Vantage,"$153,081",21 MPG,
670,2019 Aston Martin DB11,"$219,581",20 MPG,
671,2020 Acura ILX,"$26,925",28 MPG,4.4 / 5
672,2020 Acura RLX,"$55,925",23 MPG,4.0 / 5
673,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
674,2021 Acura TLX,"$38,525",25 MPG,4.7 / 5
675,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
676,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
677,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
678,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
679,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
680,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
681,2020 Acura ILX,"$26,925",28 MPG,4.4 / 5
682,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
683,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
684,2020 Acura NSX,"$159,495",21 MPG,
685,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
686,2020 Acura RLX,"$55,925",23 MPG,4.0 / 5
687,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
688,2021 Acura TLX,"$38,525",25 MPG,4.7 / 5
689,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
690,2020 Acura NSX,"$159,495",21 MPG,
691,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
692,2020 Acura NSX,"$159,495",21 MPG,
693,2020 Acura ILX,"$26,925",28 MPG,4.4 / 5
694,2020 Acura RLX,"$55,925",23 MPG,4.0 / 5
695,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
696,2021 Acura TLX,"$38,525",25 MPG,4.7 / 5
697,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
698,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
699,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
700,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
701,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
702,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
703,2020 Acura ILX,"$26,925",28 MPG,4.4 / 5
704,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
705,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
706,2020 Acura NSX,"$159,495",21 MPG,
707,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
708,2020 Acura RLX,"$55,925",23 MPG,4.0 / 5
709,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
710,2021 Acura TLX,"$38,525",25 MPG,4.7 / 5
711,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
712,2020 Acura NSX,"$159,495",21 MPG,
713,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
714,2020 Acura NSX,"$159,495",21 MPG,
